,id,time (delta),RSSI (dBm)
16132,0,17:,-77
16139,0,17:,-77
16140,0,17:,-77
16141,0,17:,-77
16148,0,17:,-77
16149,0,17:,-77
16150,0,17:,-77
16157,0,17:,-77
16158,0,17:,-77
16159,0,17:,-77
16166,0,18:,-77
16167,0,18:,-77
16168,0,18:,-77
16175,0,18:,-77
16176,0,18:,-77
16177,0,18:,-77
16184,0,18:,-77
16185,0,18:,-77
16186,0,18:,-77
16193,0,18:,-77
16194,0,18:,-77
16195,0,18:,-77
16202,0,0:,-79
16203,0,0:,-79
16204,0,0:,-79
16211,0,0:,-79
16212,0,0:,-79
16213,0,0:,-79
16220,0,0:,-79
16221,0,0:,-79
16222,0,0:,-79
16229,0,0:,-79
16230,0,0:,-79
16231,0,0:,-79
16238,0,0:,-79
16239,0,0:,-79
16240,0,0:,-79
16247,0,0:,-79
16248,0,0:,-79
16249,0,0:,-79
16256,0,0:,-79
16257,0,0:,-79
16258,0,0:,-79
16265,0,0:,-79
16266,0,0:,-79
16267,0,0:,-79
16274,0,0:,-79
16275,0,0:,-79
16276,0,0:,-79
16283,0,0:,-79
16284,0,0:,-79
16285,0,0:,-79
16292,0,1:,-79
16293,0,1:,-79
16294,0,1:,-79
16301,0,1:,-79
16302,0,1:,-79
16303,0,1:,-79
16310,0,1:,-79
16311,0,1:,-79
16312,0,1:,-79
16319,0,1:,-79
16320,0,1:,-79
16321,0,1:,-79
16328,0,1:,-79
16329,0,1:,-79
16330,0,1:,-79
16337,0,1:,-79
16338,0,1:,-79
16339,0,1:,-79
16346,0,1:,-79
16347,0,1:,-79
16348,0,1:,-79
16355,0,1:,-79
16356,0,1:,-79
16357,0,1:,-79
16364,0,0:,-77
16365,0,0:,-77
16366,0,0:,-77
16373,0,0:,-77
16374,0,0:,-77
16375,0,0:,-77
16382,0,0:,-77
16383,0,0:,-77
16384,0,0:,-77
16391,0,0:,-77
16392,0,0:,-77
16393,0,0:,-77
16400,0,0:,-77
16401,0,0:,-77
16402,0,0:,-77
16409,0,0:,-77
16410,0,0:,-77
16411,0,0:,-77
16418,0,0:,-77
16419,0,0:,-77
16420,0,0:,-77
16427,0,0:,-77
16428,0,0:,-77
16429,0,0:,-77
16436,0,0:,-77
16437,0,0:,-77
16438,0,0:,-77
16445,0,0:,-77
16446,0,0:,-77
16447,0,0:,-77
16454,0,1:,-77
16455,0,1:,-77
16456,0,1:,-77
16463,0,1:,-77
16464,0,1:,-77
16465,0,1:,-77
16472,0,1:,-77
16473,0,1:,-77
16474,0,1:,-77
16481,0,1:,-77
16482,0,1:,-77
16483,0,1:,-77
16490,0,1:,-77
16491,0,1:,-77
16492,0,1:,-77
16499,0,1:,-77
16500,0,1:,-77
16501,0,1:,-77
16508,0,1:,-77
16509,0,1:,-77
16510,0,1:,-77
16517,0,1:,-77
16518,0,1:,-77
16519,0,1:,-77
16526,0,1:,-77
16527,0,1:,-77
16528,0,1:,-77
16535,0,1:,-77
16536,0,1:,-77
16537,0,1:,-77
16544,0,2:,-77
16545,0,2:,-77
16546,0,2:,-77
16553,0,2:,-77
16554,0,2:,-77
16555,0,2:,-77
16562,0,2:,-77
16563,0,2:,-77
16564,0,2:,-77
16571,0,2:,-77
16572,0,2:,-77
16573,0,2:,-77
16580,0,2:,-77
16581,0,2:,-77
16582,0,2:,-77
16589,0,2:,-77
16590,0,2:,-77
16591,0,2:,-77
16598,0,2:,-77
16599,0,2:,-77
16600,0,2:,-77
16607,0,2:,-77
16608,0,2:,-77
16609,0,2:,-77
16616,0,2:,-77
16617,0,2:,-77
16618,0,2:,-77
16625,0,2:,-77
16626,0,2:,-77
16627,0,2:,-77
16634,0,3:,-77
16635,0,3:,-77
16636,0,3:,-77
16643,0,3:,-77
16644,0,3:,-77
16645,0,3:,-77
16652,0,3:,-77
16653,0,3:,-77
16654,0,3:,-77
16661,0,3:,-77
16662,0,3:,-77
16663,0,3:,-77
16670,0,3:,-77
16671,0,3:,-77
16672,0,3:,-77
16679,0,3:,-77
16680,0,3:,-77
16681,0,3:,-77
16688,0,3:,-77
16689,0,3:,-77
16690,0,3:,-77
16697,0,3:,-77
16698,0,3:,-77
16699,0,3:,-77
16706,0,3:,-77
16707,0,3:,-77
16708,0,3:,-77
16715,0,3:,-77
16716,0,3:,-77
16717,0,3:,-77
16724,0,4:,-77
16725,0,4:,-77
16726,0,4:,-77
16733,0,4:,-77
16734,0,4:,-77
16735,0,4:,-77
16742,0,4:,-77
16743,0,4:,-77
16744,0,4:,-77
16751,0,4:,-77
16752,0,4:,-77
16753,0,4:,-77
16760,0,4:,-77
16761,0,4:,-77
16762,0,4:,-77
16769,0,4:,-77
16770,0,4:,-77
16771,0,4:,-77
16778,0,4:,-77
16779,0,4:,-77
16780,0,4:,-77
16787,0,4:,-77
16788,0,4:,-77
16789,0,4:,-77
16796,0,4:,-77
16797,0,4:,-77
16798,0,4:,-77
16805,0,4:,-77
16806,0,4:,-77
16807,0,4:,-77
16814,0,5:,-77
16815,0,5:,-77
16816,0,5:,-77
16823,0,5:,-77
16824,0,5:,-77
16825,0,5:,-77
16832,0,5:,-77
16833,0,5:,-77
16834,0,5:,-77
16841,0,5:,-77
16842,0,5:,-77
16843,0,5:,-77
16850,0,5:,-77
16851,0,5:,-77
16852,0,5:,-77
16859,0,5:,-77
16860,0,5:,-77
16861,0,5:,-77
16868,0,5:,-77
16869,0,5:,-77
16870,0,5:,-77
16877,0,5:,-77
16878,0,5:,-77
16879,0,5:,-77
16886,0,5:,-77
16887,0,5:,-77
16888,0,5:,-77
16895,0,5:,-77
16896,0,5:,-77
16897,0,5:,-77
16904,0,6:,-77
16905,0,6:,-77
16906,0,6:,-77
16913,0,6:,-77
16914,0,6:,-77
16915,0,6:,-77
16922,0,6:,-77
16923,0,6:,-77
16924,0,6:,-77
16931,0,6:,-77
16932,0,6:,-77
16933,0,6:,-77
16940,0,6:,-77
16941,0,6:,-77
16942,0,6:,-77
16949,0,6:,-77
16950,0,6:,-77
16951,0,6:,-77
16958,0,6:,-77
16959,0,6:,-77
16960,0,6:,-77
16967,0,6:,-77
16968,0,6:,-77
16969,0,6:,-77
16976,0,6:,-77
16977,0,6:,-77
16978,0,6:,-77
16985,0,6:,-77
16986,0,6:,-77
16987,0,6:,-77
16994,0,7:,-77
16995,0,7:,-77
16996,0,7:,-77
17003,0,7:,-77
17004,0,7:,-77
17005,0,7:,-77
